Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
4,50.0,627.2,980.0,70.54645356,339.9013158,12.246185,58.344,1.030809203,40.0,1.663684335
4,70.0,630.4,985.0,80.46929257,319.9342105,52.97084,38.896,0.269266468,64.0,1.956014214
3,60.0,399.36,624.0,42.2707476,219.9917763,34.5462,4.862,-0.601634094,80.0,1.239107169
4,80.0,598.4,935.0,77.92151393,299.9671053,33.88185,19.448,0.131749487,88.0,1.956107552
4,100.0,779.52,1218.0,106.1481337,379.9342105,81.9365,38.896,0.005508256,88.0,2.367719913
3,30.0,334.08,522.0,19.47194868,219.9753289,5.602685,14.586,-0.29308741,64.0,0.570813969
3,40.0,437.76,684.0,45.93396045,239.9753289,50.9335,14.586,-0.164866735,72.0,1.289207307
4,80.0,601.6,940.0,51.24898723,359.9259868,17.250955,43.758,-0.619505526,72.0,1.174494127
4,40.0,563.84,881.0,65.56554923,299.9671053,14.460685,19.448,1.064437024,88.0,1.645928827
3,50.0,408.96,639.0,37.77247864,239.9671053,15.169325,19.448,-0.289382777,64.0,1.060160922
3,20.0,438.4,685.0,47.25617918,239.9588816,8.63655,24.31,1.070687528,56.0,1.326362864
4,100.0,613.76,959.0,65.10218026,339.9424342,39.19665,34.034,-0.788220504,80.0,1.535200161
3,60.0,384.0,600.0,27.65815402,239.9835526,35.432,9.724,-1.362730335,80.0,0.776255367
4,100.0,652.8,1020.0,52.25441718,399.9177632,106.7389,48.62,-2.90019613,80.0,1.136082382
3,20.0,283.52,443.0,57.0,119.9671053,31.003,19.448,0.800657895,16.0,2.262642445
3,70.0,462.08,722.0,89.0,199.9506579,31.40563636,29.172,0.400986842,32.0,2.736533392
3,50.0,426.24,666.0,75.0,179.9506579,45.49790909,29.172,0.000986842,24.0,2.430841869
4,80.0,558.08,872.0,114.0,219.9424342,142.3319545,34.034,-0.998848684,32.0,3.342123558
3,20.0,225.28,352.0,44.0,99.97532895,20.73577273,14.586,0.400493421,16.0,1.913279506
4,190.0,648.96,1014.0,100.3156578,279.9259868,62.006,43.758,-2.355569765,40.0,2.606869437
4,120.0,601.6,940.0,84.85990054,279.9917763,86.3655,4.862,-1.36245409,104.0,2.204966748
4,80.0,698.88,1092.0,94.36825248,339.9177632,12.4012,48.62,1.306381567,56.0,2.225415695
4,150.0,918.4,1435.0,125.7870809,439.84375,66.435,92.378,-0.391922015,24.0,2.607708184
4,130.0,704.0,1100.0,60.61068885,419.9013158,57.577,58.344,-2.519367062,72.0,1.286020128
4,130.0,659.2,1030.0,35.72279257,439.9342105,93.009,38.896,-4.163620195,112.0,0.740497673
4,90.0,675.2,1055.0,48.39248297,419.9013158,110.725,58.344,-2.652311667,72.0,1.026777757
3,70.0,444.8,695.0,40.70985836,259.9177632,27.4598,48.62,-0.963934346,24.0,1.097877222
4,220.0,1091.2,1705.0,164.0807686,499.8519737,35.432,87.516,-0.580641762,56.0,3.190870214
4,190.0,1104.0,1725.0,102.3019911,639.7779605,53.148,131.274,-2.454185429,40.0,1.758496923
4,130.0,590.08,922.0,103.5167455,239.9342105,95.2235,38.896,-1.310201147,32.0,2.905605748
4,20.0,618.88,967.0,22.00807446,439.8519737,64.2205,87.516,-1.031802885,32.0,0.456247963
4,70.0,822.4,1285.0,200.0,239.9259868,28.98981818,43.758,3.601480263,24.0,5.613885037
3,40.0,391.68,612.0,74.0,159.9588816,53.34931818,24.31,0.000822368,24.0,2.543898061
3,40.0,449.28,702.0,84.0,179.9753289,54.55722727,14.586,1.000493421,48.0,2.722356283
3,30.0,351.36,549.0,51.0,179.9506579,25.36609091,29.172,0.400986842,24.0,1.652972471
3,40.0,434.56,679.0,68.0,199.9424342,21.74236364,34.034,0.801151316,24.0,2.0908775
3,30.0,431.36,674.0,55.0,239.9259868,16.30677273,43.758,1.001480263,32.0,1.543818385
4,260.0,1181.44,1846.0,249.0,379.9013158,82.54045455,58.344,-1.998026316,56.0,5.554386698
4,30.0,829.44,1296.0,141.0,379.8848684,6.844818182,68.068,3.802302632,40.0,3.145323206
4,70.0,726.4,1135.0,92.0,359.8930921,64.42181818,63.206,-1.197861842,40.0,2.108498207
4,90.0,775.68,1212.0,59.0,479.8601974,68.44818182,82.654,-3.797203947,56.0,1.171026738
