Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
4,70.0,652.16,1019.0,69.61665085,359.9424342,28.7885,34.034,0.242576995,88.0,1.59539698
4,330.0,1024.0,1600.0,168.1888332,439.9424342,11.9583,34.034,-3.582966402,120.0,3.486353295
4,130.0,826.88,1292.0,105.7912749,419.9342105,9.52235,38.896,-0.135891623,104.0,2.244560866
4,50.0,609.92,953.0,36.05333963,399.9342105,26.1311,38.896,-0.645452263,96.0,0.783832715
4,290.0,988.16,1544.0,106.0090289,539.9177632,60.2344,48.62,-5.099912825,136.0,1.983586813
3,70.0,390.4,610.0,48.81981502,199.9506579,50.9335,29.172,-0.942997003,32.0,1.501090494
4,250.0,851.2,1330.0,114.0632183,419.9013158,152.8005,58.344,-5.162176102,72.0,2.420160493
3,60.0,428.8,670.0,81.55781502,159.9506579,6.42205,29.172,1.47170137,16.0,2.803785148
4,230.0,627.2,980.0,51.42502361,379.9095395,15.72295,53.482,-4.948443831,64.0,1.147113958
4,300.0,877.44,1371.0,67.52827872,539.8766447,31.4459,72.93,-6.567012639,96.0,1.263602783
3,50.0,422.4,660.0,50.60750271,219.9588816,31.22445,24.31,0.075378125,48.0,1.483598275
4,220.0,1091.2,1705.0,100.4303429,639.8848684,126.2265,68.068,-4.553918704,144.0,1.726180432
3,20.0,428.8,670.0,17.37714551,299.9342105,77.5075,38.896,-1.34636667,56.0,0.436252169
3,50.0,220.8,345.0,43.88047755,59.98355263,2.2145,9.724,0.415908514,8.0,2.463357347
3,10.0,380.8,595.0,27.64329683,239.9588816,14.83715,24.31,0.507528758,56.0,0.775878266
3,60.0,390.4,610.0,21.4156161,259.9342105,50.9335,38.896,-1.881493493,40.0,0.577525302
4,280.0,872.96,1364.0,75.58033274,519.8601974,84.151,82.654,-6.417801232,72.0,1.441244556
3,20.0,166.4,260.0,5.076154025,119.9835526,33.2175,9.724,-0.967067797,32.0,0.201486567
4,310.0,949.12,1483.0,122.5261322,479.8684211,44.29,77.792,-4.684698918,64.0,2.431866906
3,40.0,288.0,450.0,21.54214977,179.9588816,31.22445,24.31,-0.838280645,32.0,0.698191508
3,10.0,236.8,370.0,12.02327167,159.9835526,44.29,9.724,-0.616297996,48.0,0.41329215
4,120.0,744.96,1164.0,123.0606578,320.0,0.68665,43.758,1.130955747,56.0,2.991345915
4,190.0,888.32,1388.0,173.7189712,320.0,1.17395,58.344,1.195261751,32.0,4.222905856
4,250.0,806.4,1260.0,125.9555755,360.0,27.5546,43.758,-2.807544523,72.0,2.886575747
4,320.0,1260.8,1970.0,224.302459,500.0,127.584,106.964,-2.147693782,24.0,4.362141847
4,240.0,777.6,1215.0,97.37056424,400.0,69.7725,48.62,-4.545336439,80.0,2.116969024
1,380.0,1555.2,2430.0,273.3512098,600.0,170.7765,87.516,-2.102619292,96.0,4.852562282
3,50.0,295.68,462.0,44.0,179.9424342,44.49131818,34.034,-0.998848684,16.0,1.426126483
3,40.0,272.0,425.0,36.0,159.9506579,34.82804545,29.172,-0.599013158,16.0,1.237603843
3,40.0,217.6,340.0,67.0,139.9588816,76.29959091,24.31,-0.199177632,16.0,2.462332714
4,120.0,721.28,1127.0,116.0,319.9013158,69.25345455,58.344,-0.598026316,32.0,2.819824892
4,140.0,950.4,1485.0,193.0,359.8848684,151.5925909,68.068,-0.397697368,32.0,4.423313079
3,50.0,462.08,722.0,72.0,199.9424342,42.47813636,34.034,0.201151316,24.0,2.213870294
4,170.0,796.16,1244.0,134.0,319.9095395,37.24386364,53.482,-0.998190789,40.0,3.25734206
4,260.0,883.84,1381.0,154.0,399.9013158,47.51109091,58.344,-4.398026316,64.0,3.348239135
4,170.0,715.52,1118.0,128.0,299.9095395,2.415818182,53.482,-0.798190789,32.0,3.213564297
4,200.0,892.16,1394.0,152.0,419.9013158,47.10845455,58.344,-2.198026316,72.0,3.225092194
3,140.0,458.88,717.0,61.0,259.9342105,22.34631818,38.896,-3.598684211,40.0,1.645016575
4,240.0,966.4,1510.0,120.0,479.8930921,130.8568182,63.206,-7.597861842,88.0,2.381667667
4,210.0,721.92,1128.0,111.0,319.9259868,48.92031818,43.758,-3.998519737,56.0,2.698176675
4,20.0,480.0,750.0,58.0,239.9259868,5.636909091,43.758,1.001480263,24.0,1.628026661
4,90.0,605.44,946.0,75.0,339.8848684,27.37927273,68.068,-1.197697368,24.0,1.768754314
1,340.0,1481.6,2315.0,256.0,459.9259868,134.8831818,43.758,-2.798519737,112.0,5.190009525
3,80.0,448.0,700.0,61.0,239.9259868,19.9305,43.758,-0.798519737,24.0,1.712234936
4,250.0,1139.2,1780.0,204.088137,439.8848684,7.9722,68.068,1.077676655,64.0,4.230779719
4,170.0,1159.68,1812.0,142.7847594,559.9013158,7.30785,58.344,-1.157527218,128.0,2.623603938
4,120.0,1030.4,1610.0,205.8761231,339.9177632,6.42205,48.62,3.598216649,56.0,4.855022145
4,480.0,1286.4,2010.0,124.8112546,739.8848684,0.66435,68.068,-9.398766863,184.0,1.995004318
4,30.0,556.8,870.0,35.94681076,359.9259868,26.1311,43.758,-0.19880533,72.0,0.823807852
1,370.0,1459.2,2280.0,251.3515851,599.8684211,21.2592,77.792,-1.892398676,112.0,4.461961231
4,220.0,1248.0,1950.0,148.257707,659.8930921,19.70905,63.206,-4.379773654,160.0,2.509300378
1,270.0,1491.2,2330.0,175.2754183,759.8108553,1.99305,111.826,-4.799977922,120.0,2.764651726
4,90.0,816.0,1275.0,147.2480573,319.9342105,29.2314,38.896,-0.721993372,64.0,3.579244751
4,320.0,1116.8,1745.0,163.8370391,519.9424342,121.7975,34.034,-2.707125173,152.0,3.123968335
1,340.0,1507.2,2355.0,273.0,539.8601974,66.435,82.654,-3.797203947,80.0,5.108508925
3,40.0,361.6,565.0,89.0,139.9917763,38.04913636,4.862,1.200164474,48.0,3.196981731
4,20.0,490.24,766.0,39.0,199.9588816,41.27022727,24.31,-0.199177632,40.0,1.199130423
3,20.0,355.2,555.0,40.0,199.9588816,14.09227273,24.31,0.400822368,40.0,1.229877357
3,30.0,470.4,735.0,44.0,319.9424342,18.92390909,34.034,0.401151316,72.0,0.9965982
4,80.0,560.0,875.0,66.0,299.9424342,49.72559091,34.034,-0.798848684,64.0,1.631798632
4,370.0,1331.2,2080.0,163.0,639.8601974,143.7411818,82.654,-8.597203947,120.0,2.801671553
3,30.0,374.4,585.0,28.0,259.9424342,13.48831818,34.034,0.001151316,48.0,0.755077631
4,210.0,822.4,1285.0,98.0,499.8930921,102.0683182,63.206,-4.997861842,96.0,1.905722546
3,40.0,175.36,274.0,12.31,99.97532895,1.24012,14.586,-0.799506579,16.0,0.535283425
4,130.0,869.12,1358.0,115.0,419.8601974,184.6893,82.654,-1.397203947,32.0,2.440156336
3,10.0,326.4,510.0,51.22,179.9342105,0.4429,38.896,1.601315789,8.0,1.660178811
4,290.0,1207.68,1887.0,197.0,519.8190789,118.2543,106.964,-2.596381579,32.0,3.756749891
4,70.0,510.72,798.0,83.0,219.9342105,13.86277,38.896,1.001315789,24.0,2.433345977
4,60.0,507.52,793.0,17.04,259.9671053,159.8869,19.448,-2.399342105,72.0,0.459496868
3,50.0,324.48,507.0,37.38,159.9671053,0.4429,19.448,0.200657895,32.0,1.28497926
3,30.0,335.36,524.0,35.31,199.9671053,150.586,19.448,-1.999342105,48.0,1.085651912
3,40.0,321.92,503.0,51.73,99.99177632,4.11897,4.862,1.800164474,32.0,2.249222921
3,30.0,277.12,433.0,6.18,219.9424342,24.04947,34.034,-1.198848684,32.0,0.181178277
3,30.0,249.6,390.0,43.0,99.98355263,20.93709091,9.724,-0.399671053,24.0,1.869718983
3,30.0,282.88,442.0,46.0,119.9753289,24.3595,14.586,0.600493421,24.0,1.825929566
3,40.0,345.6,540.0,53.0,139.9671053,60.19413636,19.448,0.000657895,24.0,1.947758208
4,140.0,800.64,1251.0,135.0,359.9177632,95.62613636,48.62,-1.598355263,64.0,3.093885891
4,80.0,558.08,872.0,72.0,239.9506579,29.49714,29.172,0.600986842,48.0,2.020894714
4,120.0,714.24,1116.0,79.0,439.9342105,39.19665,38.896,-1.398684211,112.0,1.637590792
4,90.0,520.96,814.0,72.0,259.9342105,29.40856,38.896,0.401315789,40.0,1.941658908
3,60.0,216.96,339.0,29.0,139.9753289,3.49891,14.586,-0.599506579,32.0,1.065723184
4,80.0,546.56,854.0,72.0,259.9588816,29.27569,24.31,0.600822368,64.0,1.94156677
4,180.0,952.96,1489.0,87.0,519.9342105,191.3328,38.896,-5.998684211,144.0,1.658888588
4,80.0,555.52,868.0,72.0,279.9342105,31.09158,38.896,0.401315789,48.0,1.871012428
4,80.0,517.76,809.0,70.0,259.9671053,77.0646,19.448,-0.799342105,72.0,1.887604504
4,110.0,552.96,864.0,97.0,339.9424342,59.7915,34.034,-1.998848684,80.0,2.287395215
4,100.0,519.68,812.0,74.0,439.8848684,61.80468182,68.068,-3.397697368,64.0,1.534031834
4,130.0,922.88,1442.0,231.0,399.8766447,13.08568182,72.93,2.802467105,40.0,5.022513632
4,130.0,766.08,1197.0,138.0,519.8108553,7.851409091,111.826,-0.796217105,24.0,2.63165272
4,80.0,628.48,982.0,54.0,519.8601974,12.68304545,82.654,-2.997203947,72.0,1.02972828
3,30.0,248.32,388.0,66.0,99.99177632,5.636909091,4.862,0.400164474,32.0,2.869683217
4,120.0,640.64,1001.0,93.0,379.9424342,6.240863636,34.034,-2.598848684,96.0,2.074417713
4,110.0,709.12,1108.0,224.0,339.8930921,24.3595,63.206,1.402138158,32.0,5.282615645
4,160.0,824.96,1289.0,168.0,499.8766447,141.3253636,72.93,-3.997532895,80.0,3.267006681
4,50.0,481.28,752.0,107.0,299.9342105,40.86759091,38.896,0.801315789,56.0,2.68622842
4,50.0,560.0,875.0,104.0,399.8766447,32.21090909,72.93,1.602467105,40.0,2.261218259
4,130.0,715.52,1118.0,225.0,379.8766447,35.83463636,72.93,3.002467105,32.0,5.019187102
3,30.0,325.76,509.0,41.0,159.9671053,8.455363636,19.448,0.000657895,32.0,1.409420804
4,200.0,848.0,1325.0,123.0,459.8601974,157.0281818,82.654,-4.797203947,48.0,2.493815757
4,150.0,754.56,1179.0,133.0,339.9259868,106.6986364,43.758,-2.398519737,64.0,3.136401273
4,200.0,1003.52,1568.0,209.0,279.9835526,195.2786364,9.724,-1.399671053,96.0,5.430654706
3,30.0,325.12,508.0,46.0,139.9588816,20.53445455,24.31,0.400822368,16.0,1.690556788
4,110.0,794.88,1242.0,171.0,299.9013158,33.01618182,58.344,1.801973684,24.0,4.293179914
4,230.0,1066.24,1666.0,231.0,339.8848684,58.38227273,68.068,-0.797697368,24.0,5.447763288
4,130.0,659.2,1030.0,104.0,319.9177632,11.64827,48.62,0.601644737,48.0,2.528053881
4,100.0,481.92,753.0,42.0,299.9671053,76.1788,19.448,-2.799342105,88.0,1.054349602
3,50.0,309.76,484.0,46.0,159.9753289,5.53625,14.586,0.200493421,40.0,1.581260745
4,260.0,1024.64,1601.0,56.0,639.9424342,115.95122,34.034,-6.998848684,200.0,0.962475618
4,170.0,893.44,1396.0,96.42,479.8848684,74.8501,68.068,-2.197697368,80.0,1.913686367
4,90.0,638.08,997.0,57.48,359.8930921,79.2791,63.206,-1.797861842,40.0,1.31735301
4,250.0,824.96,1289.0,43.2,539.9013158,35.8749,58.344,-6.798026316,120.0,0.808348651
4,220.0,800.0,1250.0,77.39,419.9095395,40.7468,53.482,-3.798190789,80.0,1.642022637
3,60.0,428.16,669.0,16.0,299.9259868,30.73726,43.758,-1.798519737,48.0,0.401684523
4,200.0,1001.6,1565.0,160.0,439.8930921,187.7896,63.206,-2.397861842,72.0,3.316794584
1,500.0,1651.2,2580.0,283.0,619.7861842,16.3873,126.412,-2.795723684,40.0,4.942397303
3,40.0,406.4,635.0,48.36,219.9424342,26.35255,34.034,0.201151316,32.0,1.417763994
4,240.0,792.96,1239.0,50.0,499.9342105,53.148,38.896,-6.198684211,136.0,0.972267436
4,120.0,867.84,1356.0,95.04,459.8930921,159.444,63.206,-2.397861842,80.0,1.926859943
4,280.0,928.0,1450.0,57.52,599.8273026,94.7806,102.102,-7.596546053,72.0,1.02112269
4,170.0,663.04,1036.0,40.2,419.9095395,17.14023,53.482,-3.798190789,80.0,0.852943662
4,70.0,608.0,950.0,71.14,339.9095395,26.30826,53.482,0.201809211,48.0,1.677661539
4,80.0,492.8,770.0,62.69,239.9588816,10.05383,24.31,-0.399177632,56.0,1.759551648
3,20.0,454.4,710.0,47.84,279.9506579,0.93009,29.172,1.200986842,64.0,1.243147293
3,50.0,270.72,423.0,32.19,139.9835526,8.32652,9.724,-0.399671053,40.0,1.182917986
3,40.0,418.56,654.0,27.81,259.9753289,32.7746,14.586,-0.799506579,80.0,0.749906442
4,230.0,890.88,1392.0,40.0,619.8519737,103.1957,87.516,-7.197039474,104.0,0.698534984
3,30.0,307.2,480.0,48.0,139.9753289,22.145,14.586,-0.199506579,32.0,1.763955614
4,120.0,602.24,941.0,95.0,299.9259868,23.75554545,43.758,-0.998519737,48.0,2.385001854
3,100.0,454.4,710.0,71.0,219.9588816,41.87418182,24.31,-1.199177632,48.0,2.081420182
4,150.0,823.04,1286.0,152.0,339.9342105,81.73518182,38.896,-1.598684211,72.0,3.58441524
4,70.0,481.28,752.0,88.0,199.9588816,21.54104545,24.31,-0.199177632,40.0,2.705730185
4,160.0,904.96,1414.0,96.0,539.8930921,73.0785,63.206,-2.197861842,112.0,1.796344016
1,280.0,1497.6,2340.0,231.0,679.8766447,211.2633,72.93,-1.997532895,152.0,3.851847484
4,60.0,493.44,771.0,75.0,239.9671053,26.75116,19.448,0.600657895,64.0,2.105026517
4,70.0,528.64,826.0,81.0,259.9588816,31.4459,24.31,0.600822368,64.0,2.184262617
4,140.0,790.4,1235.0,70.5,519.8848684,68.6495,68.068,-3.197697368,96.0,1.344335578
3,40.0,224.0,350.0,29.0,119.9835526,4.16326,9.724,-0.199671053,32.0,1.151090059
4,130.0,720.64,1126.0,55.0,459.9095395,26.574,53.482,-1.998190789,96.0,1.115061047
3,70.0,390.4,610.0,29.16,259.9588816,25.82107,24.31,-1.599177632,64.0,0.786334542
4,120.0,716.8,1120.0,118.5,319.9342105,13.41987,38.896,0.801315789,64.0,2.880448889
4,60.0,615.68,962.0,75.0,339.9506579,1.55015,29.172,1.000986842,88.0,1.768583156
4,180.0,937.6,1465.0,87.2,519.9259868,91.2374,43.758,-3.398519737,136.0,1.662715275
4,20.0,593.92,928.0,135.0,279.9342105,2.617136364,38.896,3.201315789,48.0,3.508148302
4,40.0,523.52,818.0,55.0,359.9835526,43.48472727,9.724,-1.599671053,128.0,1.260356844
4,40.0,561.92,878.0,40.0,379.9259868,45.09527273,43.758,-0.798519737,80.0,0.892241985
3,20.0,292.48,457.0,27.0,239.9424342,25.36609091,34.034,-0.798848684,40.0,0.757848504
3,40.0,401.28,627.0,68.0,259.9671053,21.94368182,19.448,0.200657895,72.0,1.833672946
4,50.0,508.8,795.0,74.0,279.9671053,15.90413636,19.448,2.000657895,80.0,1.922872021
4,130.0,570.24,891.0,98.0,279.9342105,45.09527273,38.896,-1.798684211,48.0,2.546655804
4,70.0,566.4,885.0,92.0,299.9342105,22.34631818,38.896,0.401315789,56.0,2.309654342
4,180.0,988.8,1545.0,164.0,459.8848684,141.728,68.068,-2.997697368,72.0,3.324998486
3,60.0,405.76,634.0,70.0,199.9506579,4.630318182,29.172,0.000986842,32.0,2.152329634
4,80.0,582.4,910.0,104.0,279.9342105,44.08868182,38.896,-0.798684211,48.0,2.702573507
4,150.0,811.52,1268.0,136.0,379.9095395,43.68604545,53.482,-1.798190789,64.0,3.033688414
4,70.0,522.88,817.0,90.0,259.9424342,67.44159091,34.034,-0.798848684,48.0,2.427035242
3,20.0,216.32,338.0,42.0,99.97532895,4.026363636,14.586,0.400493421,16.0,1.826312256
3,40.0,391.04,611.0,58.16,199.9753289,9.65522,14.586,0.800493421,56.0,1.788168137
4,200.0,1135.36,1774.0,181.5,539.8601974,80.6078,82.654,-0.397203947,80.0,3.396316373
4,200.0,811.52,1268.0,77.44,439.9588816,30.42723,24.31,-2.999177632,136.0,1.605208547
4,50.0,599.68,937.0,146.6,159.9753289,3.1003,14.586,4.000493421,40.0,5.039409245
4,50.0,712.32,1113.0,161.1,219.9259868,1.63873,43.758,4.801480263,16.0,4.723124893
4,200.0,1022.08,1597.0,91.7,579.9259868,40.52535,43.758,-2.798519737,160.0,1.655599225
3,50.0,472.32,738.0,70.99,219.9588816,30.64868,24.31,0.600822368,48.0,2.081127024
4,140.0,852.48,1332.0,140.4,379.9259868,49.1619,43.758,0.401480263,80.0,3.131769366
4,440.0,1388.8,2170.0,183.6,679.9177632,66.435,48.62,-6.598355263,192.0,3.061375816
3,60.0,371.84,581.0,64.0,179.9671053,23.95686364,19.448,-0.599342105,40.0,2.074223605
3,60.0,408.32,638.0,67.0,179.9671053,6.039545455,19.448,0.000657895,40.0,2.171452837
4,200.0,1036.8,1620.0,189.0,439.9013158,8.858,58.344,-2.798026316,80.0,3.91792698
4,100.0,657.28,1027.0,108.0,279.9424342,10.46854545,34.034,-1.598848684,56.0,2.806477419
3,50.0,402.56,629.0,66.0,199.9588816,38.45177273,24.31,0.000822368,40.0,2.029297639
3,30.0,248.32,388.0,37.0,119.9753289,1.207909091,14.586,0.200493421,24.0,1.468682477
4,30.0,578.56,904.0,96.0,279.9671053,29.14282,19.448,2.400657895,80.0,2.494536676
3,30.0,437.76,684.0,81.0,159.9917763,9.96525,4.862,2.200164474,56.0,2.784250798
4,80.0,675.2,1055.0,70.0,399.9424342,16.16585,34.034,0.201151316,104.0,1.521848642
4,270.0,1145.6,1790.0,89.0,719.8519737,77.5075,87.516,-5.997039474,144.0,1.442250077
1,380.0,1664.0,2600.0,209.0,839.84375,106.7389,92.378,-4.396875,184.0,3.135589509
4,60.0,794.24,1241.0,69.0,499.9095395,28.83279,53.482,0.201809211,112.0,1.341762169
4,260.0,1292.8,2020.0,114.0,719.8930921,140.8422,63.206,-4.797861842,184.0,1.847323743
4,120.0,674.56,1054.0,78.0,379.9342105,28.30131,38.896,-0.998684211,88.0,1.73985304
4,250.0,995.84,1556.0,190.0,399.9259868,74.4072,43.758,-1.198519737,88.0,4.130816969
4,70.0,720.64,1126.0,82.0,419.9013158,23.73944,58.344,0.801973684,72.0,1.739852368
3,50.0,416.0,650.0,31.0,299.9835526,7.75075,9.724,-0.399671053,104.0,0.778189086
4,110.0,554.88,867.0,54.0,319.9753289,16.43159,14.586,-1.399506579,104.0,1.312525279
4,70.0,622.72,973.0,43.0,399.9917763,31.97738,4.862,-0.799835526,152.0,0.934792218
3,20.0,338.56,529.0,34.0,199.9835526,11.20537,9.724,0.600328947,64.0,1.045331268
4,120.0,748.16,1169.0,102.98,339.9588816,178.0458,24.31,-1.999177632,96.0,2.428353206
3,60.0,395.52,618.0,24.11,239.9835526,9.03516,9.724,-0.999671053,80.0,0.676672669
4,170.0,914.56,1429.0,113.79,479.9259868,9.07945,43.758,0.201480263,120.0,2.258338966
4,230.0,979.2,1530.0,96.91,479.9259868,169.1878,43.758,-5.598519737,120.0,1.923329196
4,70.0,655.36,1024.0,107.8,279.9588816,37.77937,24.31,1.600822368,72.0,2.80119795
3,80.0,405.76,634.0,40.17,219.9506579,19.57618,29.172,-0.799013158,40.0,1.177636785
3,20.0,203.52,318.0,42.0,100.0,3.221090909,5.0,1.0,40.0,1.826086957
3,30.0,259.2,405.0,53.0,99.98355263,3.623727273,9.724,1.400328947,24.0,2.304537352
4,230.0,984.32,1538.0,240.0,419.9013158,3.019772727,58.344,2.201973684,72.0,5.092250833
4,170.0,774.4,1210.0,88.3,399.9588816,132.4271,24.31,-3.199177632,120.0,1.919663887
4,220.0,1016.96,1589.0,98.73,579.9588816,32.73031,24.31,-2.799177632,192.0,1.782471929
4,210.0,920.32,1438.0,103.0,499.9095395,39.99387,53.482,-2.998190789,112.0,2.002920338
4,240.0,1195.52,1868.0,104.43,759.8273026,147.4857,102.102,-5.796546053,136.0,1.647175957
4,360.0,1420.8,2220.0,239.2,579.9177632,103.6386,48.62,-2.598355263,152.0,4.31867113
4,110.0,925.44,1446.0,59.0,599.9177632,211.7062,48.62,-3.798355263,160.0,1.047317391
4,200.0,851.2,1330.0,111.11,439.9013158,24.40379,58.344,-2.598026316,80.0,2.303285009
4,160.0,804.48,1257.0,155.88,319.9013158,143.9425,58.344,-0.998026316,32.0,3.789261243
4,400.0,1408.0,2200.0,180.4,639.9424342,12.4012,34.034,-5.398848684,200.0,3.100546455
3,60.0,408.96,639.0,71.69,159.9671053,4.73903,19.448,0.800657895,32.0,2.46442384
4,330.0,1020.16,1594.0,175.5,419.9342105,86.3655,38.896,-4.798684211,104.0,3.723562574
4,110.0,675.2,1055.0,119.03,279.9259868,19.0447,43.758,1.001480263,40.0,3.093192786
4,60.0,640.64,1001.0,24.81,459.9506579,162.5443,29.172,-3.799013158,136.0,0.502971418
3,40.0,200.96,314.0,25.21,119.9835526,1.90447,9.724,-0.399671053,32.0,1.000654496
3,60.0,364.16,569.0,17.14,219.9342105,11.0725,38.896,-1.398684211,24.0,0.502500603
4,230.0,920.32,1438.0,104.66,479.9506579,37.77937,29.172,-2.999013158,144.0,2.077086575
4,290.0,988.8,1545.0,108.67,519.9342105,33.48324,38.896,-4.798684211,144.0,2.072085321
4,140.0,873.6,1365.0,53.39,599.8848684,196.6476,68.068,-5.797697368,128.0,0.947759467
4,540.0,1311.36,2049.0,265.8,499.84375,11.38253,92.378,-5.796875,48.0,5.169041364
3,30.0,233.6,365.0,23.98,119.9917763,2.08163,4.862,0.000164474,40.0,0.951799783
4,130.0,745.6,1165.0,109.95,359.9177632,140.3993,48.62,-2.398355263,64.0,2.519798175
4,100.0,528.64,826.0,35.94,339.9342105,42.69556,38.896,-2.398684211,72.0,0.847525551
4,190.0,949.12,1483.0,101.33,519.9424342,145.7141,34.034,-4.198848684,152.0,1.932113233
4,280.0,1176.96,1839.0,249.1,399.9013158,19.84192,58.344,1.201973684,64.0,5.41588551
4,280.0,961.92,1503.0,132.2,479.8766447,79.722,72.93,-4.597532895,72.0,2.623848844
3,40.0,437.12,683.0,70.22,199.9424342,2.34737,34.034,1.601151316,24.0,2.1591385
3,30.0,392.96,614.0,81.63,139.9671053,6.15631,19.448,2.200657895,24.0,2.999915142
4,40.0,610.56,954.0,150.4,259.9095395,23.65086,53.482,4.401809211,16.0,4.056102211
4,200.0,1030.4,1610.0,142.9,519.8601974,96.1093,82.654,-2.197203947,72.0,2.724966133
4,300.0,1318.4,2060.0,239.8,499.8108553,49.1619,111.826,0.203782895,16.0,4.663570008
4,130.0,747.52,1168.0,167.4,219.9342105,11.60398,38.896,2.801315789,24.0,4.907736344
4,130.0,789.12,1233.0,96.56,479.8930921,107.1818,63.206,-1.997861842,88.0,1.916448583
4,80.0,578.56,904.0,168.0,299.9095395,44.08868182,53.482,0.201809211,32.0,4.217803139
4,40.0,513.92,803.0,127.0,279.9342105,1.610545455,38.896,1.601315789,48.0,3.300258032
3,30.0,464.0,725.0,86.0,339.9013158,44.69263636,58.344,0.401973684,40.0,2.028122543
4,140.0,609.28,952.0,132.0,439.8601974,59.99281818,82.654,-2.797203947,40.0,2.736457849
3,70.0,471.68,737.0,97.0,299.9177632,15.70281818,48.62,0.601644737,40.0,2.435245806
3,90.0,445.44,696.0,90.0,239.9835526,22.54763636,9.724,-0.199671053,80.0,2.525945258
3,20.0,312.96,489.0,50.0,219.9259868,11.67645455,43.758,0.401480263,16.0,1.465898477
3,50.0,454.4,710.0,81.0,279.9177632,13.68963636,48.62,0.001644737,32.0,2.10495082
3,40.0,224.64,351.0,53.0,119.9671053,4.026363636,19.448,0.000657895,16.0,2.103860519
3,40.0,362.88,567.0,104.0,159.9588816,29.79509091,24.31,1.600822368,24.0,3.575208085
4,150.0,683.52,1068.0,112.0,459.8601974,159.444,82.654,-5.797203947,48.0,2.270791584
4,50.0,973.44,1521.0,67.0,619.8355263,33.57182,97.24,0.803289474,88.0,1.170061621
4,310.0,1324.8,2070.0,112.0,779.7861842,84.151,126.412,-5.395723684,104.0,1.743823068
4,260.0,1040.0,1625.0,142.0,499.9588816,74.8501,24.31,-2.999177632,160.0,2.761171388
4,80.0,537.6,840.0,73.0,259.9671053,3.18888,19.448,0.400657895,72.0,1.968501839
3,40.0,432.0,675.0,33.0,259.9917763,19.39902,4.862,-0.199835526,96.0,0.889828473
4,90.0,702.72,1098.0,96.0,319.9753289,28.74421,14.586,1.000493421,104.0,2.333378274
3,40.0,401.28,627.0,28.0,259.9917763,13.95135,4.862,-0.599835526,96.0,0.755005977
4,260.0,718.72,1123.0,120.0,299.9671053,150.586,19.448,-4.799342105,88.0,3.012427434
4,30.0,566.4,885.0,107.0,219.9506579,9.87667,29.172,2.800986842,40.0,3.136846802
4,70.0,524.8,820.0,40.0,319.9753289,38.79804,14.586,-1.199506579,104.0,0.972240948
4,170.0,915.2,1430.0,98.0,479.9424342,29.6743,34.034,-0.998848684,136.0,1.944928609
4,140.0,732.8,1145.0,75.0,399.9506579,40.7468,29.172,-1.599013158,112.0,1.630535353
4,130.0,803.2,1255.0,123.0,399.9259868,28.38989,43.758,0.801480263,88.0,2.674160459
3,70.0,449.28,702.0,45.0,259.9835526,29.76288,9.724,-0.999671053,88.0,1.213421654
4,200.0,778.24,1216.0,95.0,439.9835526,7.70646,9.724,-2.799671053,160.0,1.969144325
4,160.0,831.36,1299.0,61.0,519.8848684,26.574,68.068,-2.597697368,96.0,1.163183975
4,210.0,771.84,1206.0,55.0,559.8766447,17.89316,72.93,-3.997532895,104.0,1.010621837
4,50.0,576.0,900.0,72.0,299.9588816,22.05642,24.31,1.000822368,80.0,1.807481237
4,290.0,825.6,1290.0,105.0,379.8930921,139.9564,63.206,-5.197861842,48.0,2.34223661
4,60.0,716.8,1120.0,77.0,399.9506579,131.5413,29.172,-0.999013158,112.0,1.674016296
4,70.0,638.72,998.0,42.0,419.9259868,32.86318,43.758,-0.798519737,96.0,0.891117718
4,40.0,532.48,832.0,97.0,199.9424342,19.66476,34.034,2.801151316,24.0,2.982575257
4,200.0,613.12,958.0,122.0,339.9342105,130.8568182,38.896,-5.198684211,72.0,2.876964863
3,110.0,354.56,554.0,45.0,239.9342105,5.636909091,38.896,-2.798684211,32.0,1.263102486
4,130.0,481.28,752.0,145.0,279.9671053,91.80109091,19.448,-1.599342105,80.0,3.767789771
4,240.0,915.2,1430.0,108.0,559.8766447,126.0251818,72.93,-7.397532895,104.0,1.984493788
1,300.0,1555.2,2430.0,204.5,759.8601974,112.4966,82.654,-3.997203947,168.0,3.22551175
1,340.0,1504.0,2350.0,125.0,899.7779605,114.7111,131.274,-7.595559211,144.0,1.811817714
4,200.0,972.8,1520.0,136.0,479.9259868,96.1093,43.758,-2.198519737,120.0,2.69913085
1,460.0,1472.0,2300.0,272.0,619.84375,12.4012,92.378,-3.396875,96.0,4.750069399
4,80.0,648.32,1013.0,66.6,399.9013158,18.6018,58.344,-0.598026316,64.0,1.448004717
4,200.0,1190.4,1860.0,168.7,599.8848684,205.0627,68.068,-2.997697368,128.0,2.994699795
4,150.0,1043.2,1630.0,156.0,559.8601974,64.6634,82.654,0.602796053,88.0,2.866533132
4,440.0,1433.6,2240.0,247.6,599.8601974,32.3317,82.654,-3.397203947,104.0,4.395393699
4,170.0,745.6,1165.0,120.0,359.8766447,130.2126,72.93,-3.797532895,24.0,2.750277898
3,40.0,313.6,490.0,40.41,179.9671053,2.2145,19.448,0.400657895,40.0,1.309677748
3,50.0,403.84,631.0,39.15,259.9588816,30.33865,24.31,-0.599177632,64.0,1.055726931
